names,scores,logfoldchanges,pvals,pvals_adj
HMGB3,1.0991795,1.3559438,0.27168976112663656,0.9928736482865173
WDTC1,1.0988429,0.28062293,0.27183662324682867,0.9928736482865173
DPPA4,1.0987481,2.732861,0.27187793800990345,0.9928736482865173
PUS1,1.0979695,0.45608076,0.2722178001692499,0.9936501097795291
PWWP3A,1.096728,0.34464893,0.2727603438554055,0.9952660517128805
SPOP,1.0966648,0.20080768,0.2727879505719215,0.9952660517128805
TST,1.0962492,1.3047745,0.27296974250191686,0.9956192056036752
YPEL2,1.0957073,0.32817,0.27320688678381055,0.9960189443953206
NOC2L,1.0951444,0.32956913,0.2734533897075455,0.9966035738552246
IGLV1-47,1.0951285,5.6126385,0.273460303195152,0.9966035738552246
TOP2A,1.0938607,1.4316461,0.27401607710898723,0.9979828097593969
CSGALNACT1,1.0937976,0.35794276,0.27404377065702823,0.9979828097593969
LINC00339,1.0931662,0.38210267,0.2743208113227211,0.9988364387406572
SRGAP2C,1.0925297,0.75029933,0.27460035431916796,0.9993592201644995
TOPBP1,1.0908462,0.28726178,0.27534057892556685,1.0
SPINT1-AS1,1.0907093,2.3431854,0.27540078193640904,1.0
HIST1H2AE,1.0904568,0.58885574,0.27551194955566083,1.0
BRCA1,1.090278,1.159207,0.27559071180984707,1.0
MSH3,1.0902412,0.361806,0.2756069294749839,1.0
CRIP3,1.0871687,4.043481,0.27696223979055357,1.0
SMG9,1.0870215,0.5334718,0.2770273343217764,1.0
PHF8,1.086085,0.54323125,0.2774413933378298,1.0
TMCC1,1.0855484,0.53642976,0.2776788530050982,1.0
MTREX,1.0853695,0.27666265,0.27775803697506507,1.0
PMS1,1.0850276,0.38253346,0.2779094608864846,1.0
NGRN,1.0845698,0.2162735,0.2781122239114271,1.0
RFX3,1.0843962,0.62279487,0.27818916036089814,1.0
FOXO6,1.0828127,5.1275744,0.27889158273242654,1.0
ZNF135,1.0825022,1.9261973,0.27902940814403343,1.0
IGLV2-14,1.0824654,4.7516513,0.27904576338513454,1.0
CD70,1.0823287,0.82420564,0.27910651713181256,1.0
INTS3,1.0819604,0.6027548,0.2792701296209886,1.0
ELF2,1.080098,0.23693195,0.2800985400980647,1.0
SETD4,1.0798086,0.48893735,0.2802273976429931,1.0
GPX7,1.0793141,0.2680231,0.280447720123133,1.0
PTCH2,1.078788,0.41805854,0.28068223487201294,1.0
EIPR1,1.0784408,0.33244577,0.28083708753747516,1.0
DHX32,1.078062,0.70926857,0.2810060838634941,1.0
CENPH,1.0778831,0.4608443,0.2810859116776012,1.0
IGLV4-69,1.0777411,6.360007,0.28114931531873155,1.0
CLEC4C,1.0775622,5.633655,0.28122917074929776,1.0
CCDC151,1.077499,5.549429,0.28125735869411883,1.0
NBPF10,1.0770466,1.9937636,0.28145942841413074,1.0
CPSF7,1.0763048,0.31477207,0.2817909418919011,1.0
ATP6V1A,1.0754052,0.40417922,0.28219334544018493,1.0
IGHGP,1.0753105,5.067206,0.28223572636535277,1.0
PSMD3,1.0731535,0.24281006,0.28320223851523485,1.0
IGHV3-21,1.0727327,23.723745,0.2833910873923088,1.0
AL391834.1,1.0726695,0.45925105,0.2834194220793582,1.0
C2orf88,1.0724064,1.6730647,0.283537503930118,1.0
CBWD2,1.0719645,0.55984557,0.2837359564387082,1.0
SLC4A1,1.0709281,0.5450362,0.28420174369831164,1.0
COIL,1.070865,0.19673656,0.28423013323977964,1.0
KIF27,1.070281,0.96430355,0.28449282748983284,1.0
TRRAP,1.0699444,0.33841634,0.28464436548781846,1.0
IBTK,1.0693393,0.26434296,0.2849167975338701,1.0
TMEM241,1.0687238,1.5312765,0.28519414846504565,1.0
TIMM17A,1.0684397,0.26168004,0.28532221814326053,1.0
PTDSS1,1.0678452,0.307568,0.2855903416103137,1.0
ADAMTS6,1.0668666,0.584991,0.2860320483740707,1.0
FBXO22,1.06512,0.35997796,0.28682161796844496,1.0
ACOT8,1.0642625,0.42953157,0.2872098062058023,1.0
CCDC97,1.0638943,0.27053,0.28737662159920285,1.0
S100A8,1.0632998,0.30443737,0.2876460472459236,1.0
CCDC77,1.0628104,0.9138322,0.2878679147394314,1.0
RTF2,1.062016,0.12301909,0.2882283970104884,1.0
CAPN10-DT,1.0601379,1.0803307,0.2890818731042051,1.0
AC104024.1,1.060101,5.9144077,0.28909862493242666,1.0
CCP110,1.0594224,0.45788348,0.2894074542787124,1.0
PIGN,1.058912,0.4739141,0.2896398211026322,1.0
FAM193B,1.058749,0.62895155,0.28971410914877627,1.0
RAB3IP,1.058265,0.5453495,0.2899346524290163,1.0
SNRNP27,1.0572233,0.14849801,0.29040968320657523,1.0
CASP7,1.0567393,0.35940167,0.2906305826825202,1.0
GTF2IRD2B,1.0541878,1.0122257,0.29179697550201933,1.0
ERCC1,1.0529094,0.25793,0.29238255567559535,1.0
FSD1L,1.0523411,1.4089831,0.29264306670467655,1.0
PRKAB1,1.0518255,0.7710653,0.2928795911816394,1.0
LMNB1,1.0512837,0.31947786,0.29312832152081625,1.0
TIGAR,1.0512469,0.47587994,0.2931452306678971,1.0
