run_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_layout	fastq_ftp	fastq_md5	fastq_bytes
SRR26039794	SAMN37359258	SRS18863627	GSM7776144	Leaves, 12d post transition, ZT1, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/094/SRR26039794/SRR26039794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/094/SRR26039794/SRR26039794_2.fastq.gz	976ddc5d4e5ddc25a57929b7f16d54d8;37e1bec6324bbb1f3148443ecbc5833b	2698514281;2700047698
SRR26039798	SAMN37359278	SRS18863623	GSM7776124	Leaves, 7d post transition, ZT1, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/098/SRR26039798/SRR26039798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/098/SRR26039798/SRR26039798_2.fastq.gz	77b37e8da604b044f06ee53341e35ceb;c0b97c0b5a7635f3ea797fa59bb4704a	2249992784;2322578722
SRR26039801	SAMN37359281	SRS18863620	GSM7776121	Leaves, 7d post transition, ZT16, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/001/SRR26039801/SRR26039801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/001/SRR26039801/SRR26039801_2.fastq.gz	babd7380628363f8402364572bbea374;bce391cb1ea6e801c761ba80d17e2346	2709672543;2807268458
SRR26039806	SAMN37359286	SRS18863615	GSM7776116	Leaves, 7d post transition, ZT0, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/006/SRR26039806/SRR26039806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/006/SRR26039806/SRR26039806_2.fastq.gz	c1bf9a403187a42636e9f65d7b4343b4;1da441f7ad3c4b524513becb946dd89f	3917188966;4092290318
SRR26039813	SAMN37359293	SRS18863608	GSM7776109	Leaves, 2d post transition, ZT4, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/013/SRR26039813/SRR26039813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/013/SRR26039813/SRR26039813_2.fastq.gz	6e482a2a11d1393cc9b72959de19cd1e;da5dac6f1c4f2bfdb1101068452563ef	3059456291;3176146461
SRR26039814	SAMN37359294	SRS18863607	GSM7776108	Leaves, 2d post transition, ZT4, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/014/SRR26039814/SRR26039814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/014/SRR26039814/SRR26039814_2.fastq.gz	d9cc8a52ae47c8a8440e3c53d40fd004;c869c5d28d657f8c43c1a6785d50099a	2799142499;2933322615
SRR26039826	SAMN37359306	SRS18863595	GSM7776096	Leaves, 2d post transition, ZT12, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/026/SRR26039826/SRR26039826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/026/SRR26039826/SRR26039826_2.fastq.gz	a48a04b06770a8565a6398b0a5065600;34ed9e1ace5d7518ad5dcbb7f023c15a	7621129727;7986511311
SRR26039827	SAMN37359307	SRS18863594	GSM7776095	Leaves, 2d post transition, ZT0, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/027/SRR26039827/SRR26039827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/027/SRR26039827/SRR26039827_2.fastq.gz	a4aa56b3be752083db2bfa2ab66caa88;9f6cca6e14374dfa84c73277f00b365c	2637755338;2639393126
SRR26039768	SAMN37359263	SRS18863653	GSM7776139	Leaves, 12d post transition, ZT12, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/068/SRR26039768/SRR26039768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/068/SRR26039768/SRR26039768_2.fastq.gz	f70969096f8c5498536e5c7671be0750;6dce681a09db311aa8cd82521c1851e5	3698613536;3916540091
SRR26039770	SAMN37359265	SRS18863651	GSM7776137	Leaves, 12d post transition, ZT0, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/070/SRR26039770/SRR26039770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/070/SRR26039770/SRR26039770_2.fastq.gz	100c0c65ef1616c05026afe6332ab80b;5548ddd1938b31172a1d96023657a6b6	3059740640;3243380418
SRR26039781	SAMN37359276	SRS18863640	GSM7776126	Leaves, 7d post transition, ZT20, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/081/SRR26039781/SRR26039781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/081/SRR26039781/SRR26039781_2.fastq.gz	5653e5afdfee5babb3e7987c5d4bc850;9909b74f388caa63d9de4afc7b04c9f3	2380924733;2468654387
SRR26039782	SAMN37359277	SRS18863639	GSM7776125	Leaves, 7d post transition, ZT1, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/082/SRR26039782/SRR26039782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/082/SRR26039782/SRR26039782_2.fastq.gz	2e96c5fbd2a81d70e79f742211199471;972d4c316f8381b9618606510f06b743	2228870730;2228924864
SRR26039785	SAMN37359249	SRS18863636	GSM7776153	Leaves, 12d post transition, ZT8, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/085/SRR26039785/SRR26039785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/085/SRR26039785/SRR26039785_2.fastq.gz	6b444da5df246165b18e1e185fd00f78;066eb933092dec09fb739687f262d269	3002834321;3139903471
SRR26039787	SAMN37359251	SRS18863634	GSM7776151	Leaves, 12d post transition, ZT4, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/087/SRR26039787/SRR26039787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/087/SRR26039787/SRR26039787_2.fastq.gz	3becd65976f0fe31f2bff772d1d26275;42e81f57459682824f0a264c35b3d484	3133905856;3277929423
SRR26039791	SAMN37359255	SRS18863630	GSM7776147	Leaves, 12d post transition, ZT20, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/091/SRR26039791/SRR26039791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/091/SRR26039791/SRR26039791_2.fastq.gz	bb6e36a97e44349c639bc405acede5f2;d7f72fcbb5ab570f43e35ca8140414d0	3655189302;3802120832
SRR26039809	SAMN37359289	SRS18863612	GSM7776113	Leaves, 2d post transition, ZT8, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/009/SRR26039809/SRR26039809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/009/SRR26039809/SRR26039809_2.fastq.gz	40473cd5a4f7f1b38c362c820ae9397d;20b5e4d89512ec0ff88a05b64828d113	3767234924;3920215052
SRR26039811	SAMN37359291	SRS18863610	GSM7776111	Leaves, 2d post transition, ZT8, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/011/SRR26039811/SRR26039811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/011/SRR26039811/SRR26039811_2.fastq.gz	ef33f2844f31cf7ea44873a26b7f317b;d1eca716052bfad8f030678dc29ba5e4	2756623163;2869114156
